"Canal";"Valor gasto";"Impressões";"CPM";"Cliques";"CPC";"Visitas Totais";"CPV";"Visitas Únicas";"CPV";"Leads (MQL+SQL)";"CPL";"Leads (SQL)";"CPL";"Vendas";"CPA";"Receita";"ROAS";"Ticket médio"
"Total";"2.777,53";"244.900,00";"11,34";"2.644,00";"1,05";"13.248,00";"0,21";"10.041,00";"0,28";"541,00";"5,13";"193,00";"14,39";"1,00";"2.777,53";"380,00";"0.14";"380,00"
"Bing  Orgânico";"";"";"0,00";"";"0,00";"78,00";"0,00";"62,00";"0,00";"1,00";"0,00";"";"0,00";"";"0,00";"";"0";""
"Desconhecida";"";"";"0,00";"";"0,00";"501,00";"0,00";"415,00";"0,00";"245,00";"0,00";"11,00";"252,50";"";"0,00";"";"0";""
"Linkedin";"";"";"0,00";"";"0,00";"4,00";"0,00";"4,00";"0,00";"";"0,00";"";"0,00";"";"0,00";"";"0";""
"Meta Ads";"2.311,86";"81.068,00";"28,52";"489,00";"4,73";"58,00";"39,86";"54,00";"42,81";"158,00";"14,63";"153,00";"18,15";"";"0,00";"";"0";""
"Google Analytics";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Google Ads Pesquisa";"465,67";"15.889,00";"29,31";"451,00";"1,03";"647,00";"0,72";"598,00";"0,78";"";"0,00";"";"0,00";"";"0,00";"";"0";""
"RD Station CRM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Google Pesquisa Orgânica";"";"147.943,00";"0,00";"1.704,00";"0,00";"8.051,00";"0,00";"6.219,00";"0,00";"89,00";"0,00";"20,00";"138,88";"1,00";"0,00";"380,00";"0";"380,00"
"Referência";"";"";"0,00";"";"0,00";"134,00";"0,00";"103,00";"0,00";"14,00";"0,00";"1,00";"2.777,53";"";"0,00";"";"0";""
"RD Station";"";"";"0,00";"";"0,00";"170,00";"0,00";"110,00";"0,00";"2,00";"0,00";"";"0,00";"";"0,00";"";"0";""
"Tráfego Direto";"";"";"0,00";"";"0,00";"3.567,00";"0,00";"2.450,00";"0,00";"32,00";"0,00";"8,00";"347,19";"";"0,00";"";"0";""
"Twitter";"";"";"0,00";"";"0,00";"2,00";"0,00";"2,00";"0,00";"";"0,00";"";"0,00";"";"0,00";"";"0";""
"Yahoo Orgânico";"";"";"0,00";"";"0,00";"36,00";"0,00";"24,00";"0,00";"";"0,00";"";"0,00";"";"0,00";"";"0";""
